epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.57259,1.45216,4.76154,1.17217,0.09091,0.00079,0.04585,0.04126,0.93942,4.09488,1.04031,3.336e-05,3.336e-05,3.336e-05
2,8.8061,1.28371,4.67408,1.08986,0.03487,0.07036,0.04273,0.03264,0.78465,4.0453,0.94389,7.08489e-05,7.08489e-05,7.08489e-05
3,11.9821,1.11207,4.19488,0.93843,0.01036,0.08854,0.0569,0.04613,0.67159,3.87306,0.87248,0.000106796,0.000106796,0.000106796
4,15.1569,1.06202,3.43258,0.90528,0.03925,0.20449,0.12467,0.09088,0.64355,3.50523,0.85498,0.000141203,0.000141203,0.000141203
5,18.3681,0.9696,2.73667,0.89124,0.09379,0.33834,0.18271,0.14386,0.63673,3.11277,0.85672,0.000174068,0.000174068,0.000174068
6,21.631,0.97404,2.18002,0.88517,0.11277,0.49045,0.33177,0.26495,0.59446,3.03356,0.84289,0.000205392,0.000205392,0.000205392
7,24.8657,0.86007,1.74698,0.85857,0.11373,0.56586,0.43496,0.35364,0.59398,3.10096,0.85767,0.000235175,0.000235175,0.000235175
8,28.0525,0.87544,1.56439,0.86393,0.12691,0.79335,0.63834,0.52304,0.54208,2.82809,0.83454,0.000263416,0.000263416,0.000263416
9,31.1686,0.7892,1.42615,0.84803,0.14064,0.89152,0.75455,0.59563,0.56675,2.75667,0.83906,0.000290116,0.000290116,0.000290116
10,34.3372,0.7665,1.3125,0.84837,0.13423,0.91509,0.79027,0.64467,0.51118,2.0571,0.82969,0.000315275,0.000315275,0.000315275
11,37.4818,0.78228,1.21982,0.84228,0.13277,0.92127,0.83311,0.68162,0.56895,1.90629,0.84221,0.000338893,0.000338893,0.000338893
12,40.6802,0.79283,1.13769,0.83931,0.13896,0.94922,0.89475,0.71996,0.59312,2.07619,0.85444,0.00036097,0.00036097,0.00036097
13,43.8705,0.71666,1.058,0.83583,0.13718,0.95298,0.90283,0.73184,0.53985,1.83343,0.84122,0.000381505,0.000381505,0.000381505
