epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.193,0.59062,0.63998,0.80913,0.98746,0.98145,0.99171,0.90288,0.37096,0.46413,0.81026,0.000180456,0.000180456,0.000180456
2,36.3846,0.57698,0.5948,0.80893,0.97898,0.98529,0.99194,0.9073,0.37021,0.43151,0.81615,0.000362168,0.000362168,0.000362168
3,53.4051,0.56829,0.58082,0.80592,0.97888,0.98523,0.99304,0.90418,0.36762,0.42081,0.80526,0.000540211,0.000540211,0.000540211
4,70.5265,0.56392,0.55247,0.80541,0.98215,0.9854,0.99338,0.91597,0.34319,0.4103,0.80447,0.000539487,0.000539487,0.000539487
5,87.6208,0.54093,0.52265,0.80303,0.98464,0.9904,0.99374,0.91968,0.33277,0.37069,0.80149,0.000533982,0.000533982,0.000533982
6,104.843,0.53103,0.50455,0.80387,0.9855,0.98753,0.99358,0.91103,0.34331,0.36714,0.80118,0.000528478,0.000528478,0.000528478
7,122.102,0.52889,0.48775,0.80019,0.98598,0.98636,0.99331,0.9108,0.35267,0.37465,0.80508,0.000522974,0.000522974,0.000522974
8,139.385,0.51794,0.47186,0.79816,0.98229,0.99335,0.99348,0.9081,0.35222,0.33177,0.80168,0.000517469,0.000517469,0.000517469
9,156.775,0.51298,0.45817,0.79796,0.98323,0.99027,0.99358,0.91734,0.34087,0.36131,0.8041,0.000511965,0.000511965,0.000511965
10,174.165,0.5071,0.44757,0.80006,0.97331,0.98419,0.99145,0.9155,0.35443,0.36333,0.80328,0.00050646,0.00050646,0.00050646
11,191.572,0.51017,0.43618,0.80022,0.98409,0.98871,0.99303,0.92085,0.33507,0.38687,0.79898,0.000500956,0.000500956,0.000500956
12,210.466,0.4933,0.41862,0.79644,0.98788,0.99081,0.99397,0.91202,0.35239,0.32324,0.80133,0.000495452,0.000495452,0.000495452
13,229.303,0.49279,0.41024,0.7953,0.98613,0.99202,0.99404,0.9114,0.3446,0.30326,0.79879,0.000489947,0.000489947,0.000489947
14,248.361,0.49817,0.40466,0.7968,0.9805,0.98877,0.99351,0.92032,0.33442,0.33034,0.79687,0.000484443,0.000484443,0.000484443
15,267.578,0.49787,0.40247,0.79564,0.98853,0.9925,0.99451,0.91896,0.32563,0.27939,0.79613,0.000478938,0.000478938,0.000478938
16,287.078,0.47345,0.38511,0.79441,0.99142,0.98718,0.99423,0.92022,0.33229,0.33972,0.79965,0.000473434,0.000473434,0.000473434
17,306.492,0.47584,0.38319,0.79454,0.98473,0.99265,0.99401,0.92798,0.32684,0.3049,0.7979,0.00046793,0.00046793,0.00046793
18,325.837,0.47117,0.37796,0.79303,0.98696,0.9955,0.99463,0.93314,0.31615,0.28639,0.79854,0.000462425,0.000462425,0.000462425
19,344.746,0.46398,0.36987,0.79309,0.98433,0.97845,0.99439,0.92061,0.33603,0.3484,0.80032,0.000456921,0.000456921,0.000456921
20,363.849,0.46788,0.36938,0.79505,0.99221,0.98634,0.99462,0.92329,0.32542,0.29062,0.79609,0.000451416,0.000451416,0.000451416
21,383.151,0.46736,0.36327,0.79434,0.98545,0.99495,0.99437,0.92193,0.32803,0.29847,0.79631,0.000445912,0.000445912,0.000445912
22,401.901,0.47136,0.35538,0.79169,0.99158,0.99155,0.99465,0.93186,0.31032,0.27767,0.79429,0.000440408,0.000440408,0.000440408
23,420.957,0.45114,0.34619,0.79066,0.98916,0.99274,0.99446,0.92854,0.32141,0.2717,0.79334,0.000434903,0.000434903,0.000434903
24,440.139,0.45615,0.34782,0.78782,0.99043,0.99226,0.99448,0.922,0.32281,0.27045,0.79565,0.000429399,0.000429399,0.000429399
25,459.411,0.45333,0.34597,0.78949,0.99248,0.99308,0.99483,0.93258,0.31289,0.25437,0.79267,0.000423894,0.000423894,0.000423894
26,478.578,0.45372,0.34214,0.79128,0.9891,0.9922,0.99482,0.92327,0.32091,0.27063,0.79603,0.00041839,0.00041839,0.00041839
27,497.588,0.44885,0.33434,0.79076,0.99085,0.99421,0.99471,0.93099,0.29899,0.24916,0.79292,0.000412886,0.000412886,0.000412886
28,518.234,0.43713,0.32754,0.79111,0.99292,0.99287,0.99477,0.93332,0.30327,0.25485,0.79384,0.000407381,0.000407381,0.000407381
29,539.914,0.44643,0.32775,0.78916,0.98991,0.99511,0.99477,0.9339,0.30414,0.25294,0.79427,0.000401877,0.000401877,0.000401877
30,560.085,0.43171,0.31864,0.79136,0.99041,0.99369,0.99484,0.93476,0.30051,0.25608,0.79481,0.000396372,0.000396372,0.000396372
31,585.476,0.45178,0.32613,0.78832,0.99078,0.99232,0.99489,0.92131,0.32648,0.25441,0.79606,0.000390868,0.000390868,0.000390868
32,624.158,0.44007,0.31795,0.78844,0.99021,0.99617,0.9948,0.93645,0.29444,0.24128,0.79249,0.000385364,0.000385364,0.000385364
33,657.683,0.43904,0.3185,0.78804,0.99315,0.99416,0.99487,0.9149,0.35215,0.2553,0.7959,0.000379859,0.000379859,0.000379859
34,688.887,0.44287,0.31349,0.78964,0.99239,0.99488,0.99479,0.93092,0.30061,0.2384,0.79315,0.000374355,0.000374355,0.000374355
35,721.934,0.42626,0.30861,0.79103,0.99584,0.99113,0.99479,0.93761,0.29769,0.23915,0.79064,0.00036885,0.00036885,0.00036885
36,756.072,0.42939,0.30802,0.78974,0.99447,0.99409,0.99487,0.93482,0.30245,0.23287,0.79285,0.000363346,0.000363346,0.000363346
37,788.721,0.43142,0.30809,0.78802,0.99212,0.99377,0.99465,0.93841,0.29163,0.23284,0.79045,0.000357842,0.000357842,0.000357842
38,808.04,0.42598,0.30691,0.78888,0.99269,0.99468,0.99487,0.93596,0.31096,0.23703,0.79501,0.000352337,0.000352337,0.000352337
39,825.931,0.42777,0.30552,0.78656,0.9935,0.99547,0.99485,0.93451,0.29693,0.23036,0.79198,0.000346833,0.000346833,0.000346833
40,843.924,0.43227,0.30524,0.78893,0.99117,0.99222,0.99487,0.93464,0.29675,0.23853,0.7915,0.000341328,0.000341328,0.000341328
41,861.84,0.4286,0.29911,0.79019,0.99612,0.99338,0.99492,0.93666,0.29104,0.22938,0.79238,0.000335824,0.000335824,0.000335824
